Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MarketCap,Revenue_Growth,Earnings_Growth,ROE,Operating_Margins,Debt_To_Equity,Returns_1Y,Returns_2Y,Returns_3Y,Volume_MA50,Volume_Ratio,Volatility,Price_Level,Higher_Highs
2023-08-31 00:00:00+05:30,190.0,196.35000610351562,162.3000030517578,163.25,36098037,0.0,0.0,24171202560,0.13,0.128,0.15298,0.18881,0.233,,,,,,,,False
2023-09-01 00:00:00+05:30,164.89999389648438,171.4499969482422,158.5,165.0,9720028,0.0,0.0,24171202560,0.13,0.128,0.15298,0.18881,0.233,,,,,,,,False
2023-09-04 00:00:00+05:30,165.0,167.25,160.35000610351562,161.1999969482422,3010366,0.0,0.0,24171202560,0.13,0.128,0.15298,0.18881,0.233,,,,,,,,False
2023-09-05 00:00:00+05:30,160.5,162.5,153.5,154.14999389648438,3460816,0.0,0.0,24171202560,0.13,0.128,0.15298,0.18881,0.233,,,,,,,,False
2023-09-06 00:00:00+05:30,155.0,162.5,154.1999969482422,159.10000610351562,2759974,0.0,0.0,24171202560,0.13,0.128,0.15298,0.18881,0.233,,,,,,,,False
2023-09-07 00:00:00+05:30,160.5,161.4499969482422,156.25,156.6999969482422,1515649,0.0,0.0,24171202560,0.13,0.128,0.15298,0.18881,0.233,,,,,,,,False
2023-09-08 00:00:00+05:30,158.4499969482422,159.0,155.39999389648438,156.60000610351562,1008534,0.0,0.0,24171202560,0.13,0.128,0.15298,0.18881,0.233,,,,,,,,False
2023-09-11 00:00:00+05:30,158.5,158.89999389648438,154.5,154.9499969482422,1107364,0.0,0.0,24171202560,0.13,0.128,0.15298,0.18881,0.233,,,,,,,,False
2023-09-12 00:00:00+05:30,156.0,157.39999389648438,147.1999969482422,148.64999389648438,1383190,0.0,0.0,24171202560,0.13,0.128,0.15298,0.18881,0.233,,,,,,,,False
2023-09-13 00:00:00+05:30,149.3000030517578,158.60000610351562,145.4499969482422,155.75,2802134,0.0,0.0,24171202560,0.13,0.128,0.15298,0.18881,0.233,,,,,,,,False
2023-09-14 00:00:00+05:30,157.9499969482422,159.8000030517578,156.5500030517578,157.89999389648438,1490449,0.0,0.0,24171202560,0.13,0.128,0.15298,0.18881,0.233,,,,,,,,False
2023-09-15 00:00:00+05:30,159.8000030517578,159.8000030517578,155.5,156.4499969482422,925930,0.0,0.0,24171202560,0.13,0.128,0.15298,0.18881,0.233,,,,,,,,False
2023-09-18 00:00:00+05:30,156.89999389648438,157.5,153.0,153.5500030517578,417796,0.0,0.0,24171202560,0.13,0.128,0.15298,0.18881,0.233,,,,,,,,False
2023-09-20 00:00:00+05:30,152.10000610351562,157.35000610351562,151.5,154.14999389648438,834708,0.0,0.0,24171202560,0.13,0.128,0.15298,0.18881,0.233,,,,,,,,False
2023-09-21 00:00:00+05:30,153.9499969482422,156.4499969482422,150.5,151.5500030517578,610128,0.0,0.0,24171202560,0.13,0.128,0.15298,0.18881,0.233,,,,,,,,False
2023-09-22 00:00:00+05:30,151.6999969482422,154.25,151.0,151.8000030517578,730176,0.0,0.0,24171202560,0.13,0.128,0.15298,0.18881,0.233,,,,,,,,False
2023-09-25 00:00:00+05:30,152.25,152.8000030517578,146.5,149.0500030517578,514346,0.0,0.0,24171202560,0.13,0.128,0.15298,0.18881,0.233,,,,,,,,False
