Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MarketCap,Revenue_Growth,Earnings_Growth,ROE,Operating_Margins,Debt_To_Equity,Returns_1Y,Returns_2Y,Returns_3Y,Volume_MA50,Volume_Ratio,Volatility,Price_Level,Higher_Highs
2021-11-09 00:00:00+05:30,1084.0,1120.0,1072.75,1101.699951171875,247735,0.0,0.0,225016168448,0.278,0.241,,0.16405001,7.311,,,,,,,,False
2021-11-10 00:00:00+05:30,1101.699951171875,1129.0,1055.0,1084.949951171875,308860,0.0,0.0,225016168448,0.278,0.241,,0.16405001,7.311,,,,,,,,False
2021-11-11 00:00:00+05:30,1133.9000244140625,1180.949951171875,1125.0,1145.25,900860,0.0,0.0,225016168448,0.278,0.241,,0.16405001,7.311,,,,,,,,False
2021-11-12 00:00:00+05:30,1161.5,1172.0,1140.0,1168.6500244140625,376538,0.0,0.0,225016168448,0.278,0.241,,0.16405001,7.311,,,,,,,,False
2021-11-15 00:00:00+05:30,1187.0,1205.0,1181.9000244140625,1198.9000244140625,734123,0.0,0.0,225016168448,0.278,0.241,,0.16405001,7.311,,,,,,,,False
2021-11-16 00:00:00+05:30,1207.4000244140625,1213.050048828125,1182.0,1189.300048828125,379169,0.0,0.0,225016168448,0.278,0.241,,0.16405001,7.311,,,,,,,,False
2021-11-17 00:00:00+05:30,1192.0,1210.0,1191.1500244140625,1197.199951171875,389485,0.0,0.0,225016168448,0.278,0.241,,0.16405001,7.311,,,,,,,,False
2021-11-18 00:00:00+05:30,1204.0,1204.0,1150.0,1156.8499755859375,310061,0.0,0.0,225016168448,0.278,0.241,,0.16405001,7.311,,,,,,,,False
2021-11-22 00:00:00+05:30,1170.0,1170.0,1080.0,1105.75,407812,0.0,0.0,225016168448,0.278,0.241,,0.16405001,7.311,,,,,,,,False
2021-11-23 00:00:00+05:30,1094.0,1129.0,1071.0,1117.550048828125,251417,0.0,0.0,225016168448,0.278,0.241,,0.16405001,7.311,,,,,,,,False
2021-11-24 00:00:00+05:30,1147.0999755859375,1206.449951171875,1128.0,1153.4000244140625,664098,0.0,0.0,225016168448,0.278,0.241,,0.16405001,7.311,,,,,,,,False
2021-11-25 00:00:00+05:30,1161.8499755859375,1204.0,1153.4000244140625,1196.8499755859375,386846,0.0,0.0,225016168448,0.278,0.241,,0.16405001,7.311,,,,,,,,False
2021-11-26 00:00:00+05:30,1175.0,1229.0,1158.0,1181.5999755859375,814656,0.0,0.0,225016168448,0.278,0.241,,0.16405001,7.311,,,,,,,,False
2021-11-29 00:00:00+05:30,1110.0,1149.550048828125,1065.550048828125,1116.25,581885,0.0,0.0,225016168448,0.278,0.241,,0.16405001,7.311,,,,,,,,False
2021-11-30 00:00:00+05:30,1120.0,1164.0,1120.0,1148.9000244140625,296991,0.0,0.0,225016168448,0.278,0.241,,0.16405001,7.311,,,,,,,,False
2021-12-01 00:00:00+05:30,1152.0,1168.8499755859375,1110.0,1115.800048828125,307450,0.0,0.0,225016168448,0.278,0.241,,0.16405001,7.311,,,,,,,,False
2021-12-02 00:00:00+05:30,1117.0,1139.0,1111.0,1114.0,264702,0.0,0.0,225016168448,0.278,0.241,,0.16405001,7.311,,,,,,,,False
2021-12-03 00:00:00+05:30,1124.949951171875,1125.0,1094.0,1097.0999755859375,336277,0.0,0.0,225016168448,0.278,0.241,,0.16405001,7.311,,,,,,,,False
2021-12-06 00:00:00+05:30,1094.0,1099.800048828125,1062.050048828125,1066.550048828125,300338,0.0,0.0,225016168448,0.278,0.241,,0.16405001,7.311,,,,,,,,False
2021-12-07 00:00:00+05:30,1110.0,1111.050048828125,1075.0,1080.050048828125,341155,0.0,0.0,225016168448,0.278,0.241,,0.16405001,7.311,,,,,,,,False
2021-12-08 00:00:00+05:30,1091.0,1099.0,1080.6500244140625,1084.75,189292,0.0,0.0,225016168448,0.278,0.241,,0.16405001,7.311,,,,,,0.4643383937125142,,False
