Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MarketCap,Revenue_Growth,Earnings_Growth,ROE,Operating_Margins,Debt_To_Equity,Returns_1Y,Returns_2Y,Returns_3Y,Volume_MA50,Volume_Ratio,Volatility,Price_Level,Higher_Highs
2021-11-09 00:00:00+05:30,892.5,895.0,874.9500122070312,883.7000122070312,532360,0.0,0.0,422032244736,0.031,-0.735,0.16073,0.0191,26.57,,,,,,,,False
2021-11-10 00:00:00+05:30,883.0,919.9000244140625,881.9500122070312,908.7000122070312,703417,0.0,0.0,422032244736,0.031,-0.735,0.16073,0.0191,26.57,,,,,,,,False
2021-11-11 00:00:00+05:30,918.7999877929688,920.0,891.1500244140625,901.7999877929688,7318203,0.0,0.0,422032244736,0.031,-0.735,0.16073,0.0191,26.57,,,,,,,,False
2021-11-12 00:00:00+05:30,890.0,923.7999877929688,882.4000244140625,920.0,574173,0.0,0.0,422032244736,0.031,-0.735,0.16073,0.0191,26.57,,,,,,,,False
2021-11-15 00:00:00+05:30,924.9000244140625,927.4000244140625,901.75,913.4000244140625,536069,0.0,0.0,422032244736,0.031,-0.735,0.16073,0.0191,26.57,,,,,,,,False
2021-11-16 00:00:00+05:30,913.4000244140625,922.0,902.0,913.1500244140625,339564,0.0,0.0,422032244736,0.031,-0.735,0.16073,0.0191,26.57,,,,,,,,False
2021-11-17 00:00:00+05:30,912.0,939.9500122070312,895.4500122070312,907.9000244140625,903669,0.0,0.0,422032244736,0.031,-0.735,0.16073,0.0191,26.57,,,,,,,,False
2021-11-18 00:00:00+05:30,914.7999877929688,917.6500244140625,882.1500244140625,910.4500122070312,512713,0.0,0.0,422032244736,0.031,-0.735,0.16073,0.0191,26.57,,,,,,,,False
2021-11-22 00:00:00+05:30,918.0,918.0,883.0,895.2999877929688,526680,0.0,0.0,422032244736,0.031,-0.735,0.16073,0.0191,26.57,,,,,,,,False
2021-11-23 00:00:00+05:30,888.0,920.1500244140625,871.2000122070312,909.7000122070312,689018,0.0,0.0,422032244736,0.031,-0.735,0.16073,0.0191,26.57,,,,,,,,False
2021-11-24 00:00:00+05:30,909.7000122070312,934.0999755859375,908.8499755859375,925.25,385650,0.0,0.0,422032244736,0.031,-0.735,0.16073,0.0191,26.57,,,,,,,,False
2021-11-25 00:00:00+05:30,924.0,932.2000122070312,912.0,916.9000244140625,360661,0.0,0.0,422032244736,0.031,-0.735,0.16073,0.0191,26.57,,,,,,,,False
2021-11-26 00:00:00+05:30,912.0,938.6500244140625,862.5,887.0999755859375,360423,0.0,0.0,422032244736,0.031,-0.735,0.16073,0.0191,26.57,,,,,,,,False
2021-11-29 00:00:00+05:30,870.0,910.2000122070312,822.6500244140625,899.2000122070312,477587,0.0,0.0,422032244736,0.031,-0.735,0.16073,0.0191,26.57,,,,,,,,False
2021-11-30 00:00:00+05:30,897.0,926.0,895.0,924.0,665384,0.0,0.0,422032244736,0.031,-0.735,0.16073,0.0191,26.57,,,,,,,,False
2021-12-01 00:00:00+05:30,924.0,935.0,913.0,921.9500122070312,266856,0.0,0.0,422032244736,0.031,-0.735,0.16073,0.0191,26.57,,,,,,,,False
2021-12-02 00:00:00+05:30,927.7999877929688,957.0,916.8499755859375,946.5499877929688,636420,0.0,0.0,422032244736,0.031,-0.735,0.16073,0.0191,26.57,,,,,,,,False
2021-12-03 00:00:00+05:30,953.0,955.0,916.0499877929688,925.3499755859375,202767,0.0,0.0,422032244736,0.031,-0.735,0.16073,0.0191,26.57,,,,,,,,False
2021-12-06 00:00:00+05:30,928.0,939.9000244140625,900.0,904.1500244140625,331743,0.0,0.0,422032244736,0.031,-0.735,0.16073,0.0191,26.57,,,,,,,,False
2021-12-07 00:00:00+05:30,915.0,925.5999755859375,904.9000244140625,915.5999755859375,240850,0.0,0.0,422032244736,0.031,-0.735,0.16073,0.0191,26.57,,,,,,,,False
2021-12-08 00:00:00+05:30,923.9500122070312,938.0,911.0499877929688,919.2000122070312,177869,0.0,0.0,422032244736,0.031,-0.735,0.16073,0.0191,26.57,,,,,,0.28441597956022335,,False
2021-12-09 00:00:00+05:30,924.5,947.0,921.3499755859375,942.7999877929688,330112,0.0,0.0,422032244736,0.031,-0.735,0.16073,0.0191,26.57,,,,,,0.2813594189724965,,False
2021-12-10 00:00:00+05:30,930.0,991.9000244140625,929.75,985.25,1096599,0.0,0.0,422032244736,0.031,-0.735,0.16073,0.0191,26.57,,,,,,0.3172835679323474,,False
2021-12-13 00:00:00+05:30,1008.0,1034.800048828125,996.6500244140625,1011.7999877929688,1134238,0.0,0.0,422032244736,0.031,-0.735,0.16073,0.0191,26.57,,,,,,0.32254881231910887,,False
2021-12-14 00:00:00+05:30,1018.4000244140625,1104.699951171875,1012.2000122070312,1058.949951171875,2037313,0.0,0.0,422032244736,0.031,-0.735,0.16073,0.0191,26.57,,,,,,0.35094332364983644,,False
2021-12-15 00:00:00+05:30,1059.0,1099.9000244140625,1041.949951171875,1082.8499755859375,865268,0.0,0.0,422032244736,0.031,-0.735,0.16073,0.0191,26.57,,,,,,0.35346032488473816,,False
2021-12-16 00:00:00+05:30,1098.800048828125,1114.550048828125,1062.550048828125,1071.25,809552,0.0,0.0,422032244736,0.031,-0.735,0.16073,0.0191,26.57,,,,,,0.3565937766436427,,False
