Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MarketCap,Revenue_Growth,Earnings_Growth,ROE,Operating_Margins,Debt_To_Equity,Returns_1Y,Returns_2Y,Returns_3Y,Volume_MA50,Volume_Ratio,Volatility,Price_Level,Higher_Highs
2021-12-24 00:00:00+05:30,856.0499877929688,864.0,743.8499755859375,755.0,13492548,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,,,False
2021-12-27 00:00:00+05:30,738.5,741.7000122070312,702.3499755859375,705.75,2137929,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,,,False
2021-12-28 00:00:00+05:30,705.75,748.0,702.0,734.5999755859375,1586404,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,,,False
2021-12-29 00:00:00+05:30,748.0,824.0,740.2000122070312,787.25,5408945,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,,,False
2021-12-30 00:00:00+05:30,792.4500122070312,814.0,772.0499877929688,778.2999877929688,1904086,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,,,False
2021-12-31 00:00:00+05:30,783.75,793.0499877929688,756.0999755859375,759.9000244140625,980471,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,,,False
2022-01-03 00:00:00+05:30,764.0,782.9000244140625,757.6500244140625,773.5499877929688,773259,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,,,False
2022-01-04 00:00:00+05:30,778.5,783.8499755859375,753.25,758.3499755859375,448706,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,,,False
2022-01-05 00:00:00+05:30,760.0,789.0,740.5,772.3499755859375,953044,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,,,False
2022-01-06 00:00:00+05:30,759.9500122070312,774.0,758.2000122070312,761.3499755859375,276248,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,,,False
2022-01-07 00:00:00+05:30,766.7000122070312,769.0,739.25,740.6500244140625,425068,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,,,False
2022-01-10 00:00:00+05:30,746.9000244140625,774.9000244140625,741.9500122070312,759.5999755859375,561329,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,,,False
2022-01-11 00:00:00+05:30,759.0,782.5,748.75,763.2999877929688,564979,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,,,False
2022-01-12 00:00:00+05:30,770.0,776.5999755859375,750.0,753.9500122070312,232552,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,,,False
2022-01-13 00:00:00+05:30,760.0,760.0,743.4500122070312,746.0,189888,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,,,False
2022-01-14 00:00:00+05:30,748.0,764.4000244140625,735.0499877929688,738.5999755859375,322468,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,,,False
2022-01-17 00:00:00+05:30,750.0,834.0,742.4500122070312,814.4000244140625,2841269,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,,,False
2022-01-18 00:00:00+05:30,821.6500244140625,824.5,772.5499877929688,780.0499877929688,823370,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,,,False
2022-01-19 00:00:00+05:30,780.0,812.2999877929688,756.4000244140625,795.0999755859375,812554,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,,,False
2022-01-20 00:00:00+05:30,792.0,806.0,775.5,783.3499755859375,381920,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,,,False
2022-01-21 00:00:00+05:30,784.0,804.0,748.5999755859375,758.75,529262,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,0.6164429669311446,,False
2022-01-24 00:00:00+05:30,755.0,765.0,706.0,720.4500122070312,471275,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,0.5973642091313537,,False
2022-01-25 00:00:00+05:30,718.0,757.5,705.5999755859375,735.9000244140625,298283,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,0.5842932175258388,,False
2022-01-27 00:00:00+05:30,722.0,738.9000244140625,715.0,717.6500244140625,185855,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,0.5263837542738231,,False
2022-01-28 00:00:00+05:30,726.0,776.9500122070312,724.0,741.3499755859375,771322,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,0.5416301709200941,,False
2022-01-31 00:00:00+05:30,748.9000244140625,755.0,711.0499877929688,721.7999877929688,275063,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,0.5431684995484333,,False
2022-02-01 00:00:00+05:30,727.5999755859375,748.0,726.0,732.5999755859375,201773,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,0.5418067561635749,,False
2022-02-02 00:00:00+05:30,737.9000244140625,753.8499755859375,713.3499755859375,720.8499755859375,429933,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,0.540412066594683,,False
2022-02-03 00:00:00+05:30,724.0,743.9000244140625,722.8499755859375,737.0999755859375,251681,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,0.5426509657855525,,False
2022-02-04 00:00:00+05:30,739.9500122070312,744.0999755859375,728.4500122070312,731.0499877929688,125290,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,0.5412355881645596,,False
2022-02-07 00:00:00+05:30,725.0999755859375,737.2000122070312,709.5499877929688,714.3499755859375,193955,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,0.5387134327062623,,False
2022-02-08 00:00:00+05:30,719.0,726.4500122070312,694.8499755859375,704.0,161360,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,0.5309385991531075,,False
2022-02-09 00:00:00+05:30,717.7999877929688,729.9500122070312,700.2000122070312,718.2999877929688,365106,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,0.5368775359091169,,False
2022-02-10 00:00:00+05:30,725.0,731.4000244140625,714.0,718.7999877929688,128661,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,0.5357263832922305,,False
2022-02-11 00:00:00+05:30,711.0,726.0,710.0999755859375,713.25,215967,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,0.5352126689870702,,False
2022-02-14 00:00:00+05:30,690.5,712.0,639.0499877929688,650.0499877929688,368995,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,0.6177331311931035,,False
2022-02-15 00:00:00+05:30,652.0999755859375,685.0,630.25,679.2999877929688,470238,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,0.5078548880799216,,False
2022-02-16 00:00:00+05:30,696.0,696.0,671.25,677.5499877929688,117711,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,0.4922725665914612,,False
2022-02-17 00:00:00+05:30,680.0,684.8499755859375,660.0,664.5999755859375,113764,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,0.48434174120024015,,False
2022-02-18 00:00:00+05:30,660.0,672.7999877929688,645.0499877929688,649.0999755859375,111159,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,0.4867606623043684,,False
2022-02-21 00:00:00+05:30,640.0,646.8499755859375,611.0,620.5499877929688,180059,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,0.4964271693407597,,False
2022-02-22 00:00:00+05:30,608.9000244140625,608.9000244140625,584.25,597.5999755859375,291970,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,0.48381439265628373,,False
2022-02-23 00:00:00+05:30,604.0,624.7999877929688,604.0,615.0,117971,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,0.49090088186924397,,False
2022-02-24 00:00:00+05:30,578.2999877929688,594.2000122070312,575.0,585.3499755859375,214539,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,0.5079673978690482,,False
2022-02-25 00:00:00+05:30,599.9500122070312,619.5,597.6500244140625,607.9000244140625,164327,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,0.5144280689497305,,False
2022-02-28 00:00:00+05:30,598.0,623.9500122070312,591.25,613.5499877929688,195975,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,0.5143692430489217,,False
2022-03-02 00:00:00+05:30,610.0,668.7999877929688,603.9500122070312,662.4500122070312,431871,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,0.5967391063875358,,False
2022-03-03 00:00:00+05:30,674.2999877929688,679.7000122070312,635.25,640.75,184980,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,0.6039908257159171,,False
2022-03-04 00:00:00+05:30,638.0,646.0,615.0,622.9000244140625,162100,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,,,0.599788005324568,,False
2022-03-07 00:00:00+05:30,614.0,633.4500122070312,604.5999755859375,620.0999755859375,165831,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,860266.26,0.19276706260687243,0.5998912303795492,,False
2022-03-08 00:00:00+05:30,628.0499877929688,650.4500122070312,620.0999755859375,642.7999877929688,230165,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,595018.6,0.3868198405898572,0.6166287331302409,,False
2022-03-09 00:00:00+05:30,643.0,720.0,643.0,713.0999755859375,463408,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,561528.18,0.8252622335000177,0.7354175543321024,,False
2022-03-10 00:00:00+05:30,720.0,735.2000122070312,665.2000122070312,670.5499877929688,448415,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,538768.4,0.8322964004570423,0.7627877964326737,,False
2022-03-11 00:00:00+05:30,670.0,688.0,656.8499755859375,663.2999877929688,286572,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,436320.94,0.6567917643375081,0.7632719433982558,,False
2022-03-14 00:00:00+05:30,668.0,675.7999877929688,648.9500122070312,655.2999877929688,181529,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,401869.8,0.45171097703783664,0.7637888688947809,,False
2022-03-15 00:00:00+05:30,660.0,680.6500244140625,656.0,663.3499755859375,229276,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,386845.9,0.5926804445904686,0.694909439405694,,False
2022-03-16 00:00:00+05:30,674.9000244140625,692.9500122070312,666.3499755859375,674.0,149355,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,374367.82,0.39895255954424713,0.6785049867975196,,False
2022-03-17 00:00:00+05:30,682.9500122070312,684.9000244140625,660.0999755859375,671.0499877929688,184809,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,369089.88,0.500715435492298,0.6786417822968569,,False
2022-03-21 00:00:00+05:30,675.0,694.7000122070312,671.0999755859375,677.0999755859375,154264,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,353114.28,0.43686706751140164,0.6752706412871313,,False
2022-03-22 00:00:00+05:30,682.7000122070312,682.7000122070312,661.1500244140625,665.1500244140625,130825,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,350205.82,0.37356603610985106,0.6727699589136982,,False
2022-03-23 00:00:00+05:30,674.0,678.0,657.0999755859375,664.2999877929688,195562,0.0,0.0,130036834304,0.16,0.271,,0.32754,0.264,,,,345615.7,0.5658365635588892,0.6507261807452785,,False
