Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MarketCap,Revenue_Growth,Earnings_Growth,ROE,Operating_Margins,Debt_To_Equity,Returns_1Y,Returns_2Y,Returns_3Y,Volume_MA50,Volume_Ratio,Volatility,Price_Level,Higher_Highs
2021-11-09 00:00:00+05:30,1120.0,1163.4000244140625,1111.949951171875,1152.25,22004,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,,,False
2021-11-10 00:00:00+05:30,1121.0,1209.8499755859375,1121.0,1209.8499755859375,30475,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,,,False
2021-11-11 00:00:00+05:30,1180.0,1180.0,1149.4000244140625,1149.4000244140625,10856,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,,,False
2021-11-12 00:00:00+05:30,1091.949951171875,1180.0,1091.949951171875,1168.699951171875,61172,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,,,False
2021-11-15 00:00:00+05:30,1200.0,1258.949951171875,1200.0,1241.5,62215,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,,,False
2021-11-16 00:00:00+05:30,1261.0,1261.0,1219.949951171875,1221.949951171875,27726,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,,,False
2021-11-17 00:00:00+05:30,1240.199951171875,1344.0999755859375,1212.4000244140625,1343.949951171875,56007,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,,,False
2021-11-18 00:00:00+05:30,1351.0999755859375,1381.0,1310.0,1331.0,56201,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,,,False
2021-11-22 00:00:00+05:30,1331.0,1439.949951171875,1330.0,1384.6500244140625,105240,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,,,False
2021-11-23 00:00:00+05:30,1408.949951171875,1410.0,1360.75,1399.25,40016,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,,,False
2021-11-24 00:00:00+05:30,1400.0,1401.199951171875,1340.0,1369.25,32220,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,,,False
2021-11-25 00:00:00+05:30,1355.0,1379.949951171875,1344.0,1350.199951171875,18965,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,,,False
2021-11-26 00:00:00+05:30,1340.0,1375.0,1250.0,1291.9000244140625,29912,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,,,False
2021-11-29 00:00:00+05:30,1291.0,1291.0,1185.6500244140625,1262.800048828125,22461,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,,,False
2021-11-30 00:00:00+05:30,1264.4000244140625,1331.0,1258.800048828125,1276.050048828125,22909,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,,,False
2021-12-01 00:00:00+05:30,1289.8499755859375,1294.4000244140625,1225.25,1233.949951171875,16143,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,,,False
2021-12-02 00:00:00+05:30,1250.0,1276.0,1235.0,1262.300048828125,16895,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,,,False
2021-12-03 00:00:00+05:30,1286.75,1320.5,1263.949951171875,1303.5,21205,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,,,False
2021-12-06 00:00:00+05:30,1308.0,1344.699951171875,1290.199951171875,1314.5999755859375,21240,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,,,False
2021-12-07 00:00:00+05:30,1332.0,1577.5,1323.5,1520.6500244140625,365484,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,,,False
2021-12-08 00:00:00+05:30,1551.0,1695.0,1520.0999755859375,1627.6500244140625,232589,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,0.8117964290737021,,False
2021-12-09 00:00:00+05:30,1635.9000244140625,1666.3499755859375,1552.6500244140625,1612.4000244140625,63550,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,0.8086976751818914,,False
2021-12-10 00:00:00+05:30,1618.0,1618.0,1532.6500244140625,1593.5999755859375,34152,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,0.7783458485803758,,False
2021-12-13 00:00:00+05:30,1579.0,1591.0,1531.0999755859375,1542.6500244140625,28702,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,0.7979767084842831,,False
2021-12-14 00:00:00+05:30,1532.0,1591.0,1505.0,1523.0999755859375,18935,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,0.7834287613310581,,False
2021-12-15 00:00:00+05:30,1511.0,1794.9000244140625,1511.0,1696.800048828125,128549,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,0.8559615730210807,,False
2021-12-16 00:00:00+05:30,1768.0,1768.0,1636.5,1684.25,44973,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,0.8027153310882805,,False
2021-12-17 00:00:00+05:30,1709.949951171875,1746.75,1601.0999755859375,1615.0,29552,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,0.8217773043437219,,False
2021-12-20 00:00:00+05:30,1572.0,1598.75,1504.75,1585.949951171875,48279,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,0.8201779249191106,,False
2021-12-21 00:00:00+05:30,1563.0,1710.0,1551.5,1690.0,93559,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,0.8453424817711979,,False
2021-12-22 00:00:00+05:30,1714.199951171875,1827.0,1699.0,1732.1500244140625,161980,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,0.8379113754844921,,False
2021-12-23 00:00:00+05:30,1748.949951171875,1795.0,1706.0,1722.25,76170,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,0.8349092271066679,,False
2021-12-24 00:00:00+05:30,1723.949951171875,1726.0,1656.0,1705.5,31234,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,0.8129514512997046,,False
2021-12-27 00:00:00+05:30,1740.0,1750.0,1681.199951171875,1689.4000244140625,30862,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,0.8062055427404515,,False
2021-12-28 00:00:00+05:30,1712.0,1848.0,1700.0,1777.550048828125,89591,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,0.8160751374916487,,False
2021-12-29 00:00:00+05:30,1781.0999755859375,1838.8499755859375,1720.0,1752.949951171875,34571,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,0.8029603649083068,,False
2021-12-30 00:00:00+05:30,1745.0,1764.8499755859375,1686.6500244140625,1705.949951171875,30168,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,0.8188632175127237,,False
2021-12-31 00:00:00+05:30,1722.0,1749.550048828125,1707.3499755859375,1722.1500244140625,13452,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,0.8168816844239651,,False
2022-01-03 00:00:00+05:30,1725.0,1738.8499755859375,1700.1500244140625,1720.3499755859375,23622,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,0.8186238288774036,,False
2022-01-04 00:00:00+05:30,1750.0,1836.0,1716.0,1817.050048828125,60801,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,0.6471402126590439,,True
2022-01-05 00:00:00+05:30,1820.0,1874.0,1753.3499755859375,1777.1500244140625,29851,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,0.6145169848899146,,True
2022-01-06 00:00:00+05:30,1775.0,1795.949951171875,1731.3499755859375,1745.25,28025,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,0.617939841030187,,True
2022-01-07 00:00:00+05:30,1729.0,1839.8499755859375,1720.0,1744.3499755859375,43940,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,0.6152970048939087,,True
2022-01-10 00:00:00+05:30,1755.0,1800.0,1755.0,1765.300048828125,23439,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,0.599647768945677,,True
2022-01-11 00:00:00+05:30,1765.300048828125,1765.449951171875,1676.949951171875,1705.699951171875,44317,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,0.6135299979758337,,True
2022-01-12 00:00:00+05:30,1706.25,1738.0,1666.0,1689.949951171875,27154,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,0.4645133785970347,,True
2022-01-13 00:00:00+05:30,1712.800048828125,1712.800048828125,1609.9000244140625,1641.0999755859375,40244,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,0.47532627675187417,,True
2022-01-14 00:00:00+05:30,1625.0,1707.6500244140625,1625.0,1688.800048828125,16529,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,0.4616133058885849,,True
2022-01-17 00:00:00+05:30,1700.0,1704.8499755859375,1653.0,1691.4000244140625,19593,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,,,0.45520469208163816,,True
2022-01-18 00:00:00+05:30,1669.800048828125,1699.0,1606.449951171875,1624.949951171875,18891,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,52132.4,0.3623658224060277,0.4163338263768946,,True
2022-01-19 00:00:00+05:30,1624.949951171875,1643.0,1592.0,1602.75,20832,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,52108.96,0.39977769658039614,0.40607152500073057,,True
2022-01-20 00:00:00+05:30,1610.0,1633.199951171875,1594.300048828125,1615.800048828125,26084,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,52021.14,0.5014115415386898,0.40807380731346055,,True
2022-01-21 00:00:00+05:30,1605.0,1648.0,1572.199951171875,1580.800048828125,20565,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,52215.32,0.3938499275691502,0.412902135851503,,True
2022-01-24 00:00:00+05:30,1571.0,1571.0,1441.75,1494.050048828125,49563,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,51983.14,0.9534437511854805,0.45132596543349796,,True
2022-01-25 00:00:00+05:30,1442.5,1600.0,1418.75,1569.75,37623,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,51491.3,0.7306671224070862,0.44877921825306705,,True
2022-01-27 00:00:00+05:30,1583.0,1588.75,1512.1500244140625,1536.300048828125,24461,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,51426.0,0.47565433827246917,0.451325864689905,,True
2022-01-28 00:00:00+05:30,1540.0,1566.800048828125,1470.0,1481.6500244140625,16627,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,50638.4,0.32834765711396885,0.4576611383833602,,True
2022-01-31 00:00:00+05:30,1482.25,1524.8499755859375,1448.449951171875,1486.5,27221,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,50058.8,0.5437805141154003,0.4552797128858011,,True
2022-02-01 00:00:00+05:30,1513.9000244140625,1513.9000244140625,1448.050048828125,1475.300048828125,23501,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,48424.02,0.48531699763877517,0.4547474358315811,,True
2022-02-02 00:00:00+05:30,1498.0,1670.8499755859375,1480.300048828125,1667.75,72261,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,49068.92,1.4726429682984667,0.6334343227835288,,True
2022-02-03 00:00:00+05:30,1700.0,1709.949951171875,1602.6500244140625,1672.4000244140625,53152,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,49487.56,1.0740477000684616,0.6299792383013822,,False
2022-02-04 00:00:00+05:30,1613.050048828125,1679.0,1540.8499755859375,1563.949951171875,85051,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,50809.28,1.673926495317391,0.6663580677821918,,False
2022-02-07 00:00:00+05:30,1563.949951171875,1582.1500244140625,1470.449951171875,1486.4000244140625,33707,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,50885.18,0.6624129068620765,0.6848181470805158,,False
2022-02-08 00:00:00+05:30,1508.699951171875,1526.5999755859375,1441.0,1461.0,19360,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,50823.16,0.3809286947131977,0.6818226834642587,,False
2022-02-09 00:00:00+05:30,1468.0,1504.75,1424.1500244140625,1432.3499755859375,17250,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,50709.98,0.34016972595926875,0.6767189786550852,,False
2022-02-10 00:00:00+05:30,1449.0,1460.0,1411.0,1435.050048828125,15812,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,50703.36,0.3118531000706857,0.6775705445996612,,False
2022-02-11 00:00:00+05:30,1429.949951171875,1450.0,1394.699951171875,1410.300048828125,21831,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,50802.08,0.42972649938742663,0.6738949149989472,,False
2022-02-14 00:00:00+05:30,1350.0,1434.1500244140625,1350.0,1389.8499755859375,33043,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,51038.84,0.6474089144659244,0.6608246573730291,,False
2022-02-15 00:00:00+05:30,1470.0,1470.0,1360.0,1415.8499755859375,19343,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,51000.9,0.37926781684244787,0.6672013741478074,,False
2022-02-16 00:00:00+05:30,1410.0,1450.0,1386.4000244140625,1395.800048828125,20713,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,44105.48,0.4696241827546146,0.6574864625421569,,False
2022-02-17 00:00:00+05:30,1400.0,1465.0,1400.0,1433.550048828125,12661,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,39706.92,0.3188612967210753,0.6676408672005962,,False
2022-02-18 00:00:00+05:30,1433.550048828125,1450.0,1416.050048828125,1438.0,8319,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,38602.3,0.21550529372602148,0.6665890326208909,,False
2022-02-21 00:00:00+05:30,1440.0,1447.8499755859375,1384.550048828125,1398.949951171875,17027,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,38259.8,0.4450363044239645,0.668692184460084,,False
2022-02-22 00:00:00+05:30,1311.0,1448.3499755859375,1311.0,1417.3499755859375,27521,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,38236.18,0.7197633236374554,0.6449479144316485,,False
2022-02-23 00:00:00+05:30,1400.0,1494.0,1400.0,1456.5,24220,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,38341.88,0.6316852486106577,0.6249226790948176,,False
2022-02-24 00:00:00+05:30,1401.0,1441.550048828125,1325.0,1354.800048828125,43862,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,36648.14,1.1968410948004455,0.6661164725328406,,False
2022-02-25 00:00:00+05:30,1411.0,1420.0999755859375,1385.050048828125,1395.25,38556,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,36519.8,1.0557560556191434,0.6673678595059589,,False
2022-02-28 00:00:00+05:30,1410.0,1410.0,1353.0999755859375,1379.75,14975,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,36228.26,0.41335134505493776,0.6677606892127185,,False
2022-03-02 00:00:00+05:30,1389.0,1395.5999755859375,1359.5,1383.5,21366,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,35690.0,0.5986550854581115,0.6678091777248125,,False
2022-03-03 00:00:00+05:30,1400.0,1424.0,1384.300048828125,1413.5,11134,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,34041.5,0.3270713687704713,0.4601846891633215,,False
2022-03-04 00:00:00+05:30,1414.0,1414.0,1356.550048828125,1369.4000244140625,18067,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,31163.24,0.5797535814632881,0.46556772485834846,,False
2022-03-07 00:00:00+05:30,1355.0,1390.0,1309.050048828125,1356.1500244140625,25288,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,30145.6,0.838862056154132,0.417308966293167,,False
2022-03-08 00:00:00+05:30,1375.0,1399.0,1343.1500244140625,1380.75,15584,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,29832.6,0.522381555747739,0.3937244549229281,,False
2022-03-09 00:00:00+05:30,1400.0,1449.0,1397.449951171875,1423.0999755859375,14339,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,29502.14,0.4860325386565178,0.4079171058118858,,False
2022-03-10 00:00:00+05:30,1500.0,1500.0,1420.9000244140625,1427.949951171875,17645,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,28063.22,0.628758923601782,0.4021270518698955,,False
2022-03-11 00:00:00+05:30,1415.0,1446.699951171875,1396.949951171875,1421.199951171875,9609,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,27563.98,0.3486071314810125,0.40243481800911757,,False
2022-03-14 00:00:00+05:30,1427.0,1531.0,1414.0,1512.3499755859375,47829,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,27917.2,1.71324488129182,0.4566729445927097,,False
2022-03-15 00:00:00+05:30,1530.0,1575.0,1470.0,1490.050048828125,28217,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,28212.5,1.000159503766061,0.4568044844466645,,False
2022-03-16 00:00:00+05:30,1518.5999755859375,1540.8499755859375,1470.1500244140625,1487.9000244140625,14302,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,28026.1,0.5103100324340526,0.4537205582242284,,False
2022-03-17 00:00:00+05:30,1527.0,1527.0,1465.0999755859375,1485.449951171875,11575,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,27041.58,0.4280445151503721,0.44964472016930035,,False
2022-03-21 00:00:00+05:30,1509.949951171875,1509.949951171875,1466.8499755859375,1482.0,9636,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,26637.28,0.36174864700900394,0.4412545714012212,,False
2022-03-22 00:00:00+05:30,1480.0,1483.800048828125,1450.0,1459.050048828125,11867,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,26314.12,0.4509746098292476,0.4455685985214904,,False
2022-03-23 00:00:00+05:30,1459.050048828125,1528.75,1459.050048828125,1486.75,25025,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,25935.82,0.9648817735471638,0.43677173281637827,,False
2022-03-24 00:00:00+05:30,1488.0,1529.0,1463.949951171875,1501.25,23257,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,25932.18,0.8968393710054458,0.4359317598223722,,False
2022-03-25 00:00:00+05:30,1527.9000244140625,1683.0,1500.550048828125,1641.5,171200,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,28469.84,6.013381178116912,0.5358618141994753,,False
2022-03-28 00:00:00+05:30,1641.0,1698.300048828125,1621.3499755859375,1648.949951171875,69276,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,29312.28,2.3633780790849435,0.45410203371682,,False
2022-03-29 00:00:00+05:30,1650.0,1680.0,1605.0,1657.0999755859375,34611,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,29199.62,1.1853236446227726,0.44840892028279355,,False
2022-03-30 00:00:00+05:30,1685.0,1747.0,1652.0,1680.9000244140625,48064,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,29830.32,1.6112465437849812,0.44233120752056837,,True
2022-03-31 00:00:00+05:30,1693.0,1695.0,1645.0,1678.6500244140625,17462,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,29787.7,0.5862151156349769,0.44348334615639445,,True
2022-04-01 00:00:00+05:30,1695.949951171875,1749.0,1650.5,1668.949951171875,45104,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,30311.96,1.4879935180700952,0.4446592098793329,,True
2022-04-04 00:00:00+05:30,1670.0,1690.0,1619.699951171875,1631.199951171875,42938,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,30754.08,1.396172475326851,0.4353945815613219,,True
2022-04-05 00:00:00+05:30,1625.0,1666.449951171875,1616.4000244140625,1630.1500244140625,31470,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,30861.8,1.0197072108561394,0.43138262156012797,,True
2022-04-06 00:00:00+05:30,1631.0,1658.949951171875,1615.0,1623.0,22286,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,30896.22,0.7213180123652667,0.4328625738799951,,True
2022-04-07 00:00:00+05:30,1647.3499755859375,1650.0,1584.050048828125,1588.550048828125,22241,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,30349.78,0.7328224455004287,0.43671575883437136,,True
2022-04-08 00:00:00+05:30,1582.0,1619.949951171875,1552.25,1557.1500244140625,36233,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,30321.98,1.1949417551228514,0.4460879234099545,,True
2022-04-11 00:00:00+05:30,1559.0,1601.5999755859375,1529.9000244140625,1552.550048828125,22227,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,30277.3,0.7341143364831079,0.4456351218699233,,True
2022-04-12 00:00:00+05:30,1535.0,1566.0,1526.9000244140625,1541.0,21402,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,30372.8,0.7046436285097193,0.3878959532068896,,True
2022-04-13 00:00:00+05:30,1532.6500244140625,1582.5999755859375,1532.6500244140625,1550.449951171875,20945,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,30247.28,0.6924589582931093,0.3835608917628715,,True
2022-04-18 00:00:00+05:30,1589.449951171875,1589.449951171875,1461.699951171875,1482.4000244140625,25904,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,30295.34,0.855048994333782,0.41711450944635575,,True
2022-04-19 00:00:00+05:30,1482.0,1498.5999755859375,1402.0999755859375,1425.050048828125,39774,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,29645.6,1.341649350999811,0.4393396464049775,,True
2022-04-20 00:00:00+05:30,1444.9000244140625,1490.0,1401.9000244140625,1472.6500244140625,28958,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,29161.72,0.9930141294820745,0.4566501698041401,,True
2022-04-21 00:00:00+05:30,1473.050048828125,1499.300048828125,1450.0,1460.199951171875,12152,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,27703.74,0.4386411365396874,0.4541492927978381,,True
2022-04-22 00:00:00+05:30,1459.75,1478.949951171875,1437.050048828125,1447.0999755859375,28134,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,27592.28,1.0196330277889323,0.44981122612998653,,True
2022-04-25 00:00:00+05:30,1425.5,1453.5,1386.0,1395.4000244140625,22645,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,27657.98,0.8187510440024904,0.46415889780688685,,True
2022-04-26 00:00:00+05:30,1395.5,1448.949951171875,1365.6500244140625,1384.1500244140625,24770,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,27808.38,0.8907386909989004,0.2914770222855599,,True
2022-04-27 00:00:00+05:30,1371.0,1395.0,1338.0,1364.1500244140625,23839,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,27968.92,0.8523389533811102,0.28813350615197664,,True
2022-04-28 00:00:00+05:30,1376.0,1393.949951171875,1344.0999755859375,1372.3499755859375,17211,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,27876.52,0.6174013112110119,0.28885696031689495,,True
2022-04-29 00:00:00+05:30,1373.449951171875,1417.949951171875,1331.050048828125,1340.949951171875,32744,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,27870.54,1.1748606234396606,0.2785915619075951,,True
2022-05-02 00:00:00+05:30,1341.0,1362.4000244140625,1331.0,1341.449951171875,18769,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,27859.06,0.6737126091117216,0.27945070713492093,,True
2022-05-04 00:00:00+05:30,1368.300048828125,1381.0,1311.0,1319.5,26691,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,27978.62,0.9539784306731355,0.27935285107923885,,False
2022-05-05 00:00:00+05:30,1350.0,1350.0,1290.0,1303.75,16792,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,28061.24,0.5984054874267851,0.2762853946888103,,False
2022-05-06 00:00:00+05:30,1277.699951171875,1324.949951171875,1258.0,1306.199951171875,23468,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,28364.22,0.8273804109543643,0.2776807431134933,,False
2022-05-09 00:00:00+05:30,1289.300048828125,1310.0,1255.550048828125,1302.199951171875,16260,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,28348.88,0.5735676330070183,0.2781300995400467,,False
2022-05-10 00:00:00+05:30,1282.0,1325.0,1232.0,1257.25,24304,0.0,0.0,19125702656,0.12,0.184,,0.120459996,4.263,,,,28284.54,0.859267995873364,0.2885438721926915,,False
