Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MarketCap,Revenue_Growth,Earnings_Growth,ROE,Operating_Margins,Debt_To_Equity,Returns_1Y,Returns_2Y,Returns_3Y,Volume_MA50,Volume_Ratio,Volatility,Price_Level,Higher_Highs
2021-11-12 00:00:00+05:30,544.3499755859375,582.9500122070312,511.04998779296875,543.9000244140625,10113420,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,,,False
2021-11-15 00:00:00+05:30,543.9000244140625,548.7999877929688,513.2999877929688,515.75,831926,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,,,False
2021-11-16 00:00:00+05:30,516.9500122070312,520.0,506.0,515.7000122070312,504339,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,,,False
2021-11-17 00:00:00+05:30,517.0,527.0,507.0,510.04998779296875,312070,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,,,False
2021-11-18 00:00:00+05:30,515.0,515.2000122070312,446.5,449.79998779296875,1086650,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,,,False
2021-11-22 00:00:00+05:30,445.0,445.95001220703125,366.1499938964844,397.1000061035156,1841844,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,,,False
2021-11-23 00:00:00+05:30,390.0,476.5,386.79998779296875,443.1499938964844,2446291,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,,,False
2021-11-24 00:00:00+05:30,451.0,492.0,448.79998779296875,471.6000061035156,1041435,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,,,False
2021-11-25 00:00:00+05:30,477.3999938964844,484.3999938964844,455.6000061035156,479.70001220703125,583124,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,,,False
2021-11-26 00:00:00+05:30,470.0,470.1499938964844,440.0,446.8500061035156,498782,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,,,False
2021-11-29 00:00:00+05:30,440.0,444.95001220703125,420.0,439.6000061035156,153702,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,,,False
2021-11-30 00:00:00+05:30,439.0,453.79998779296875,438.5,447.0,118045,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,,,False
2021-12-01 00:00:00+05:30,447.0,452.0,429.8500061035156,431.20001220703125,96465,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,,,False
2021-12-02 00:00:00+05:30,432.0,439.0,423.0,425.79998779296875,115248,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,,,False
2021-12-03 00:00:00+05:30,427.0,436.0,421.0,422.8999938964844,89200,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,,,False
2021-12-06 00:00:00+05:30,425.6000061035156,429.8999938964844,398.1000061035156,399.95001220703125,254173,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,,,False
2021-12-07 00:00:00+05:30,405.0,410.1000061035156,391.1000061035156,397.3999938964844,298219,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,,,False
2021-12-08 00:00:00+05:30,404.79998779296875,408.79998779296875,388.79998779296875,391.8999938964844,241258,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,,,False
2021-12-09 00:00:00+05:30,388.79998779296875,397.0,377.0,382.95001220703125,854246,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,,,False
2021-12-10 00:00:00+05:30,391.79998779296875,408.0,391.04998779296875,400.6499938964844,578667,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,,,False
2021-12-13 00:00:00+05:30,405.0,415.79998779296875,400.8500061035156,411.3500061035156,316252,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,0.8809500752167874,,False
2021-12-14 00:00:00+05:30,412.8999938964844,412.8999938964844,395.1000061035156,399.8500061035156,265977,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,0.8708356894704791,,False
2021-12-15 00:00:00+05:30,400.8500061035156,403.54998779296875,395.0,396.1499938964844,82346,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,0.8698939873458607,,False
2021-12-16 00:00:00+05:30,398.6000061035156,404.75,394.1000061035156,402.79998779296875,163273,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,0.8757431689427422,,False
2021-12-17 00:00:00+05:30,402.79998779296875,408.1499938964844,390.79998779296875,393.75,151246,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,0.7800850075410778,,False
2021-12-20 00:00:00+05:30,390.29998779296875,392.8999938964844,380.0,382.8999938964844,122071,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,0.6665174335840839,,False
2021-12-21 00:00:00+05:30,385.79998779296875,391.04998779296875,378.8999938964844,382.45001220703125,84637,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,0.5036713556531341,,False
2021-12-22 00:00:00+05:30,380.5,397.75,380.5,392.75,125053,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,0.44826019377498005,,False
2021-12-23 00:00:00+05:30,397.0,397.0,390.0,391.29998779296875,58962,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,0.43827845189589115,,False
2021-12-24 00:00:00+05:30,391.95001220703125,397.5,384.0,391.29998779296875,108016,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,0.38015902489775827,,False
2021-12-27 00:00:00+05:30,385.0,397.3999938964844,379.20001220703125,390.79998779296875,252737,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,0.37870526447669894,,False
2021-12-28 00:00:00+05:30,394.8999938964844,401.1000061035156,387.0,389.54998779296875,143426,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,0.3695346089061185,,False
2021-12-29 00:00:00+05:30,392.79998779296875,397.0,388.04998779296875,389.8999938964844,113857,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,0.3542130387480951,,False
2021-12-30 00:00:00+05:30,392.8999938964844,394.45001220703125,366.54998779296875,375.5,194955,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,0.37146319756000173,,False
2021-12-31 00:00:00+05:30,379.5,380.45001220703125,369.75,370.8999938964844,194704,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,0.37212096029138786,,False
2022-01-03 00:00:00+05:30,372.3999938964844,395.0,372.3999938964844,381.5,302978,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,0.34567205957431624,,False
2022-01-04 00:00:00+05:30,389.8999938964844,392.29998779296875,382.0,385.20001220703125,112518,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,0.3477590792058497,,False
2022-01-05 00:00:00+05:30,388.95001220703125,423.3999938964844,382.6499938964844,412.1000061035156,601063,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,0.425896728845543,,False
2022-01-06 00:00:00+05:30,409.70001220703125,429.0,405.1499938964844,415.8999938964844,333229,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,0.4153200753777722,,False
2022-01-07 00:00:00+05:30,418.79998779296875,429.0,409.3500061035156,424.3500061035156,308137,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,0.3901901800822157,,False
2022-01-10 00:00:00+05:30,424.3500061035156,425.04998779296875,415.0,416.3999938964844,93541,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,0.3871487273419925,,False
2022-01-11 00:00:00+05:30,417.0,421.0,411.20001220703125,414.95001220703125,114335,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,0.37243069597727724,,False
2022-01-12 00:00:00+05:30,414.95001220703125,417.1499938964844,408.0,410.3999938964844,196889,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,0.3731723651134436,,False
2022-01-13 00:00:00+05:30,409.1000061035156,417.95001220703125,402.6499938964844,409.8500061035156,174345,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,0.36918919605167033,,False
2022-01-14 00:00:00+05:30,409.6499938964844,422.0,408.8999938964844,410.8999938964844,86657,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,0.3585152108149792,,False
2022-01-17 00:00:00+05:30,411.1000061035156,417.1000061035156,408.5,411.70001220703125,73020,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,0.3407038978379879,,False
2022-01-18 00:00:00+05:30,414.8999938964844,419.8999938964844,390.0,402.3500061035156,78253,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,0.3532587541970783,,False
2022-01-19 00:00:00+05:30,409.8999938964844,418.45001220703125,404.54998779296875,409.54998779296875,83440,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,0.34645192228350147,,False
2022-01-20 00:00:00+05:30,415.54998779296875,417.8999938964844,406.0,408.3999938964844,50674,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,,,0.346262677885416,,False
2022-01-21 00:00:00+05:30,409.0,409.95001220703125,388.25,392.20001220703125,78111,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,542476.12,0.14398974834136477,0.37710675532325566,,False
2022-01-24 00:00:00+05:30,392.3999938964844,394.5,371.0,380.04998779296875,110064,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,342409.0,0.3214401490615025,0.39323071811866733,,False
2022-01-25 00:00:00+05:30,387.3999938964844,409.0,380.1000061035156,393.1000061035156,175904,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,329288.56,0.5341940819322725,0.4126737450024891,,False
2022-01-27 00:00:00+05:30,393.1000061035156,401.0,387.6000061035156,392.75,89574,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,320993.26,0.27905258820699225,0.41271526604948167,,False
2022-01-28 00:00:00+05:30,420.0,420.0,385.1000061035156,389.5,302333,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,320798.52,0.9424388865634417,0.3899849415156944,,False
2022-01-31 00:00:00+05:30,395.0,397.5,385.6499938964844,390.3500061035156,325864,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,305582.8,1.0663689186695062,0.38628145746175496,,False
2022-02-01 00:00:00+05:30,391.1000061035156,403.1499938964844,388.79998779296875,391.54998779296875,110086,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,270947.64,0.4062999035533212,0.3741565882416667,,True
2022-02-02 00:00:00+05:30,393.0,396.1000061035156,389.20001220703125,391.75,65196,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,223325.74,0.2919323137583693,0.37292554799421196,,True
2022-02-03 00:00:00+05:30,391.75,393.95001220703125,387.0,388.45001220703125,37979,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,203256.62,0.18685246266517666,0.2712165371131332,,True
2022-02-04 00:00:00+05:30,393.8999938964844,393.8999938964844,381.25,382.45001220703125,42633,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,192446.8,0.22153135308043576,0.2708355233770547,,False
2022-02-07 00:00:00+05:30,388.0,388.0,377.20001220703125,379.6499938964844,41534,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,183301.84,0.22658801461021885,0.2551779099485067,,False
2022-02-08 00:00:00+05:30,380.0,382.0,372.8999938964844,375.8999938964844,34246,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,180912.72,0.18929570015861794,0.2509533731410558,,False
2022-02-09 00:00:00+05:30,373.29998779296875,382.0,373.29998779296875,376.29998779296875,36857,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,179288.96,0.2055731708187721,0.25183152957965704,,False
2022-02-10 00:00:00+05:30,376.29998779296875,380.54998779296875,373.04998779296875,374.8500061035156,36664,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,178092.94,0.2058700361732475,0.2507690945491848,,False
2022-02-11 00:00:00+05:30,370.3500061035156,374.3999938964844,367.20001220703125,371.20001220703125,39056,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,176569.1,0.2211938555500368,0.251180800927782,,False
2022-02-14 00:00:00+05:30,366.1000061035156,370.0,346.04998779296875,350.1000061035156,78411,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,176353.32,0.4446244618473868,0.3097134499893275,,False
2022-02-15 00:00:00+05:30,350.0,353.75,327.79998779296875,329.3999938964844,287391,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,177017.68,1.6235157979700108,0.3565715317890036,,False
2022-02-16 00:00:00+05:30,336.0,341.95001220703125,325.70001220703125,327.54998779296875,646039,0.0,0.0,30709856256,0.269,0.077,0.14558,0.06025,,,,,183974.08,3.511576195951082,0.3541815180612743,,False
