Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MarketCap,Revenue_Growth,Earnings_Growth,ROE,Operating_Margins,Debt_To_Equity,Returns_1Y,Returns_2Y,Returns_3Y,Volume_MA50,Volume_Ratio,Volatility,Price_Level,Higher_Highs
2023-11-06 00:00:00+05:30,133.0,135.64999389648438,128.0,134.5,209080,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,,,False
2023-11-07 00:00:00+05:30,135.64999389648438,135.64999389648438,127.80000305175781,127.80000305175781,210215,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,,,False
2023-11-08 00:00:00+05:30,124.0,130.0,121.44999694824219,125.0,370078,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,,,False
2023-11-09 00:00:00+05:30,127.6500015258789,127.69999694824219,119.05000305175781,122.0,84168,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,,,False
2023-11-10 00:00:00+05:30,125.9000015258789,125.9000015258789,119.75,120.8499984741211,109387,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,,,False
2023-11-13 00:00:00+05:30,125.0,126.0,121.1500015258789,123.25,51344,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,,,False
2023-11-15 00:00:00+05:30,123.0,126.94999694824219,123.0,124.8499984741211,82807,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,,,False
2023-11-16 00:00:00+05:30,126.0,126.0,121.5999984741211,122.19999694824219,84406,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,,,False
2023-11-17 00:00:00+05:30,124.6500015258789,124.6500015258789,116.0999984741211,116.69999694824219,218952,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,,,False
2023-11-20 00:00:00+05:30,116.69999694824219,118.19999694824219,110.9000015258789,114.75,170065,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,,,False
2023-11-21 00:00:00+05:30,116.94999694824219,117.0,112.5,114.19999694824219,55951,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,,,False
2023-11-22 00:00:00+05:30,114.1500015258789,117.0,112.55000305175781,113.69999694824219,53617,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,,,False
2023-11-23 00:00:00+05:30,113.5,114.8499984741211,110.8499984741211,111.5999984741211,85959,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,,,False
2023-11-24 00:00:00+05:30,112.94999694824219,113.80000305175781,109.3499984741211,112.25,92071,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,,,False
2023-11-28 00:00:00+05:30,114.0,114.05000305175781,110.0,110.94999694824219,119849,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,,,False
2023-11-29 00:00:00+05:30,111.0999984741211,115.6500015258789,110.55000305175781,111.25,92418,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,,,False
2023-11-30 00:00:00+05:30,115.44999694824219,115.44999694824219,112.0,114.30000305175781,57610,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,,,False
2023-12-01 00:00:00+05:30,114.30000305175781,119.94999694824219,114.30000305175781,116.44999694824219,73276,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,,,False
2023-12-04 00:00:00+05:30,120.0,121.5,117.0,117.30000305175781,65803,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,,,False
2023-12-05 00:00:00+05:30,119.94999694824219,119.94999694824219,114.69999694824219,115.0999984741211,52612,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,,,False
2023-12-06 00:00:00+05:30,119.75,119.75,111.30000305175781,112.19999694824219,112821,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,0.32763174476767637,,False
2023-12-07 00:00:00+05:30,114.5,114.94999694824219,108.05000305175781,109.3499984741211,168192,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,0.29715971274993114,,False
2023-12-08 00:00:00+05:30,109.0,114.80000305175781,109.0,114.80000305175781,47419,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,0.35486642372867944,,False
2023-12-11 00:00:00+05:30,120.5,120.5,120.5,120.5,38346,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,0.39398710514227403,,False
2023-12-12 00:00:00+05:30,126.5,126.5,126.5,126.5,55170,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,0.430255841959255,,False
2023-12-13 00:00:00+05:30,132.8000030517578,132.8000030517578,132.8000030517578,132.8000030517578,28192,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,0.45836617185630046,,False
2023-12-14 00:00:00+05:30,139.39999389648438,139.39999389648438,139.39999389648438,139.39999389648438,39199,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,0.4854968182777743,,False
2023-12-15 00:00:00+05:30,146.35000610351562,146.35000610351562,139.89999389648438,146.35000610351562,881952,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,0.49809619101913943,,False
2023-12-18 00:00:00+05:30,148.75,153.64999389648438,140.3000030517578,153.64999389648438,382884,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,0.47360097406625734,,False
2023-12-19 00:00:00+05:30,161.3000030517578,161.3000030517578,161.3000030517578,161.3000030517578,29062,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,0.4747402072362726,,False
2023-12-20 00:00:00+05:30,161.3000030517578,169.35000610351562,155.0,168.5500030517578,681941,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,0.4764659334661031,,False
2023-12-21 00:00:00+05:30,169.5500030517578,175.0,160.14999389648438,163.8000030517578,686165,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,0.49959980426856115,,False
2023-12-22 00:00:00+05:30,166.9499969482422,171.9499969482422,166.89999389648438,171.8000030517578,479940,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,0.48988482205663547,,False
2023-12-26 00:00:00+05:30,178.85000610351562,180.35000610351562,175.25,180.35000610351562,521180,0.0,0.0,19599499264,0.454,0.102,,0.36766,262.22,,,,,,0.4951452846797607,,False
