Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MarketCap,Revenue_Growth,Earnings_Growth,ROE,Operating_Margins,Debt_To_Equity,Returns_1Y,Returns_2Y,Returns_3Y,Volume_MA50,Volume_Ratio,Volatility,Price_Level,Higher_Highs
2021-11-09 00:00:00+05:30,1901.6949462890625,1904.5,1880.10498046875,1894.074951171875,436480,0.0,0.0,2213366988800,0.013,-0.01,,0.20496,9.475,,,,,,,,False
2021-11-10 00:00:00+05:30,1894.7900390625,1904.260009765625,1880.0,1895.2900390625,380590,0.0,0.0,2213366988800,0.013,-0.01,,0.20496,9.475,,,,,,,,False
2021-11-11 00:00:00+05:30,1895.0,1895.0,1867.0050048828125,1885.4000244140625,419560,0.0,0.0,2213366988800,0.013,-0.01,,0.20496,9.475,,,,,,,,False
2021-11-12 00:00:00+05:30,1895.0,1925.9200439453125,1886.0849609375,1914.2449951171875,665120,0.0,0.0,2213366988800,0.013,-0.01,,0.20496,9.475,,,,,,,,False
2021-11-15 00:00:00+05:30,1920.0,1949.9000244140625,1906.9849853515625,1947.6600341796875,508330,0.0,0.0,2213366988800,0.013,-0.01,,0.20496,9.475,,,,,,,,False
2021-11-16 00:00:00+05:30,1945.0150146484375,1959.9000244140625,1932.0999755859375,1946.2099609375,461200,0.0,0.0,2213366988800,0.013,-0.01,,0.20496,9.475,,,,,,,,False
2021-11-17 00:00:00+05:30,1940.4000244140625,1956.5,1936.300048828125,1947.7049560546875,542760,0.0,0.0,2213366988800,0.013,-0.01,,0.20496,9.475,,,,,,,,False
2021-11-18 00:00:00+05:30,1940.0,1948.8800048828125,1928.0050048828125,1940.550048828125,416070,0.0,0.0,2213366988800,0.013,-0.01,,0.20496,9.475,,,,,,,,False
2021-11-22 00:00:00+05:30,1941.3499755859375,1956.5849609375,1883.25,1899.5350341796875,441380,0.0,0.0,2213366988800,0.013,-0.01,,0.20496,9.475,,,,,,,,False
2021-11-23 00:00:00+05:30,1899.5999755859375,1924.6400146484375,1890.469970703125,1918.155029296875,369600,0.0,0.0,2213366988800,0.013,-0.01,,0.20496,9.475,,,,,,,,False
2021-11-24 00:00:00+05:30,1920.0,1929.0,1895.0,1908.68994140625,343550,0.0,0.0,2213366988800,0.013,-0.01,,0.20496,9.475,,,,,,,,False
2021-11-25 00:00:00+05:30,1908.5,1921.0,1890.5699462890625,1917.8050537109375,297450,0.0,0.0,2213366988800,0.013,-0.01,,0.20496,9.475,,,,,,,,False
2021-11-26 00:00:00+05:30,1914.885009765625,1943.4100341796875,1898.25,1922.2249755859375,564410,0.0,0.0,2213366988800,0.013,-0.01,,0.20496,9.475,,,,,,,,False
2021-11-29 00:00:00+05:30,1905.0,1916.22998046875,1880.0,1900.0400390625,481070,0.0,0.0,2213366988800,0.013,-0.01,,0.20496,9.475,,,,,,,,False
2021-11-30 00:00:00+05:30,1900.0400390625,1942.489990234375,1893.5450439453125,1915.2550048828125,1697800,0.0,0.0,2213366988800,0.013,-0.01,,0.20496,9.475,,,,,,,,False
2021-12-01 00:00:00+05:30,1921.0,1944.989990234375,1916.18994140625,1939.780029296875,548120,0.0,0.0,2213366988800,0.013,-0.01,,0.20496,9.475,,,,,,,,False
2021-12-02 00:00:00+05:30,1939.780029296875,1965.0,1922.675048828125,1950.3199462890625,486000,0.0,0.0,2213366988800,0.013,-0.01,,0.20496,9.475,,,,,,,,False
2021-12-03 00:00:00+05:30,1940.219970703125,1949.8800048828125,1913.699951171875,1932.135009765625,754480,0.0,0.0,2213366988800,0.013,-0.01,,0.20496,9.475,,,,,,,,False
2021-12-06 00:00:00+05:30,1940.0,1941.56005859375,1892.9150390625,1901.6500244140625,349270,0.0,0.0,2213366988800,0.013,-0.01,,0.20496,9.475,,,,,,,,False
2021-12-07 00:00:00+05:30,1922.5999755859375,1944.364990234375,1897.5999755859375,1934.425048828125,704290,0.0,0.0,2213366988800,0.013,-0.01,,0.20496,9.475,,,,,,,,False
2021-12-08 00:00:00+05:30,1922.5050048828125,1952.4949951171875,1922.5050048828125,1947.9100341796875,335780,0.0,0.0,2213366988800,0.013,-0.01,,0.20496,9.475,,,,,,0.17105835505152256,,False
2021-12-09 00:00:00+05:30,1950.0,1954.9000244140625,1916.2449951171875,1928.4749755859375,405220,0.0,0.0,2213366988800,0.013,-0.01,,0.20496,9.475,,,,,,0.175816953966076,,False
2021-12-10 00:00:00+05:30,1922.0999755859375,1931.0,1903.0450439453125,1927.0250244140625,394490,0.0,0.0,2213366988800,0.013,-0.01,,0.20496,9.475,,,,,,0.17445613570335072,,False
2021-12-13 00:00:00+05:30,1922.02001953125,1934.949951171875,1892.4000244140625,1898.199951171875,544900,0.0,0.0,2213366988800,0.013,-0.01,,0.20496,9.475,,,,,,0.17496846947920355,,False
