Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MarketCap,Revenue_Growth,Earnings_Growth,ROE,Operating_Margins,Debt_To_Equity,Returns_1Y,Returns_2Y,Returns_3Y,Volume_MA50,Volume_Ratio,Volatility,Price_Level,Higher_Highs
2021-11-09 00:00:00+05:30,3501.8465513786946,3528.799190172088,3489.867600803853,3499.550537109375,1782692,0.0,0.0,15004218687488,0.077,0.062,0.46772,0.24067,8.836,,,,,,,,False
2021-11-10 00:00:00+05:30,3491.8641524870245,3513.5260397391085,3474.09532675362,3478.188232421875,1516489,0.0,0.0,15004218687488,0.077,0.062,0.46772,0.24067,8.836,,,,,,,,False
2021-11-11 00:00:00+05:30,3473.8957311925033,3503.893069223006,3429.9729116027133,3482.081298828125,1284514,0.0,0.0,15004218687488,0.077,0.062,0.46772,0.24067,8.836,,,,,,,,False
2021-11-12 00:00:00+05:30,3499.8501112776617,3527.9506357643213,3479.585670846956,3519.864990234375,1747259,0.0,0.0,15004218687488,0.077,0.062,0.46772,0.24067,8.836,,,,,,,,False
2021-11-15 00:00:00+05:30,3521.811469133179,3563.3385952791086,3521.811469133179,3547.067138671875,1809157,0.0,0.0,15004218687488,0.077,0.062,0.46772,0.24067,8.836,,,,,,,,False
2021-11-16 00:00:00+05:30,3562.739616918059,3569.2781763052003,3535.786977619435,3550.16162109375,2013204,0.0,0.0,15004218687488,0.077,0.062,0.46772,0.24067,8.836,,,,,,,,False
2021-11-17 00:00:00+05:30,3544.3720205151103,3556.600532895305,3500.2493563856465,3515.72216796875,1632914,0.0,0.0,15004218687488,0.077,0.062,0.46772,0.24067,8.836,,,,,,,,False
2021-11-18 00:00:00+05:30,3508.9840240144335,3514.6742206891154,3445.545691205642,3469.603271484375,2136598,0.0,0.0,15004218687488,0.077,0.062,0.46772,0.24067,8.836,,,,,,,,False
2021-11-22 00:00:00+05:30,3472.2984139377168,3509.782595932239,3434.2653916723857,3452.33349609375,3167936,0.0,0.0,15004218687488,0.077,0.062,0.46772,0.24067,8.836,,,,,,,,False
2021-11-23 00:00:00+05:30,3438.9571063756134,3474.8439975385672,3401.8224078445987,3458.17333984375,2153461,0.0,0.0,15004218687488,0.077,0.062,0.46772,0.24067,8.836,,,,,,,,False
2021-11-24 00:00:00+05:30,3466.109463751251,3486.922988842764,3417.994058746191,3437.26025390625,2161746,0.0,0.0,15004218687488,0.077,0.062,0.46772,0.24067,8.836,,,,,,,,False
2021-11-25 00:00:00+05:30,3437.858976938726,3456.9255712213467,3428.0264009956277,3439.85546875,1849619,0.0,0.0,15004218687488,0.077,0.062,0.46772,0.24067,8.836,,,,,,,,False
