Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MarketCap,Revenue_Growth,Earnings_Growth,ROE,Operating_Margins,Debt_To_Equity,Returns_1Y,Returns_2Y,Returns_3Y,Volume_MA50,Volume_Ratio,Volatility,Price_Level,Higher_Highs
2021-11-09 00:00:00+05:30,519.2163171584021,529.5318731284366,518.0864941860052,520.4934692382812,880823,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,,,False
2021-11-10 00:00:00+05:30,519.707501341765,535.9176597011963,516.1707635030903,529.2371215820312,1001719,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,,,False
2021-11-11 00:00:00+05:30,528.5494340879018,531.5458454669885,520.9355714221374,525.8968505859375,537716,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,,,False
2021-11-12 00:00:00+05:30,525.8968028730427,537.3912903633601,525.8968028730427,529.8265380859375,1334026,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,,,False
2021-11-15 00:00:00+05:30,530.5142540501461,541.2719161943186,530.5142540501461,535.8685302734375,835799,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,,,False
2021-11-16 00:00:00+05:30,535.4755518207924,539.3561774764751,530.5142729276804,533.2650756835938,1069585,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,,,False
2021-11-17 00:00:00+05:30,533.2650651255376,534.7878255528582,525.6020933275678,531.1036987304688,914669,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,,,False
2021-11-18 00:00:00+05:30,530.0721772923124,535.9176707532577,511.7006521134863,517.300537109375,748124,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,,,False
2021-11-22 00:00:00+05:30,515.7777670632332,515.7777670632332,498.9781423683019,503.05523681640625,583012,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,,,False
2021-11-23 00:00:00+05:30,494.90102604489573,530.366862189166,492.9852681450251,526.044189453125,1457880,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,,,False
2021-11-24 00:00:00+05:30,521.6723739249829,548.1489781535126,521.6723739249829,540.829833984375,2118292,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,,,False
2021-11-25 00:00:00+05:30,540.829833638187,550.899780586037,529.1388468549939,542.8438110351562,2506597,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,,,False
2021-11-26 00:00:00+05:30,538.2755439863816,544.661364172561,526.6336665922363,528.6476440429688,782324,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,,,False
2021-11-29 00:00:00+05:30,524.1284651693531,528.2546993807192,512.4866478944671,524.2266845703125,513097,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,,,False
2021-11-30 00:00:00+05:30,521.6724013358195,545.349034360397,520.7390771374385,541.517578125,1620463,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,,,False
2021-12-01 00:00:00+05:30,541.2719550562508,546.2332341290304,533.5107034638197,540.7316284179688,720482,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,,,False
2021-12-02 00:00:00+05:30,538.3737571301345,557.5312174659697,536.01589187283,552.1769409179688,1409396,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,,,False
2021-12-03 00:00:00+05:30,552.1278531614819,560.969758283285,549.1805514542142,555.369873046875,806897,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,,,False
2021-12-06 00:00:00+05:30,556.843479984088,566.8152072924423,542.057862911323,544.9560546875,1410805,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,,,False
2021-12-07 00:00:00+05:30,547.8051055512078,578.6044435572865,541.8613925909838,575.6080322265625,2030844,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,,,False
2021-12-08 00:00:00+05:30,579.6359508224743,581.3061003004952,566.3730943206041,572.5133056640625,1277695,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,0.3684959979910031,,False
2021-12-09 00:00:00+05:30,571.7765265021557,572.7589603964893,566.1766413118529,567.6994018554688,362390,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,0.36867888445521596,,False
2021-12-10 00:00:00+05:30,570.6466696719124,572.1694900881586,557.9241994657463,569.5169067382812,628423,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,0.3667713437865532,,False
2021-12-13 00:00:00+05:30,570.0081488561742,580.4710336946362,564.8994806903733,566.4222412109375,459749,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,0.3681225053889388,,False
2021-12-14 00:00:00+05:30,564.7029769946454,574.5764254044832,561.4118475123677,571.8256225585938,407005,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,0.3676573375216736,,False
2021-12-15 00:00:00+05:30,573.2501722158088,595.8952612850318,566.6678531900526,588.0848999023438,2282818,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,0.3765005938358347,,False
2021-12-16 00:00:00+05:30,588.4778660515993,592.604100143393,545.0051689350997,547.608642578125,2635061,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,0.458762388207677,,False
2021-12-17 00:00:00+05:30,547.2156409184521,550.1629423955712,529.6300514531072,534.8861083984375,1426816,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,0.45663671835890574,,False
2021-12-20 00:00:00+05:30,530.4160820305644,530.4651917325405,516.7602269528809,527.9108276367188,522564,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,0.4469679393853848,,False
2021-12-21 00:00:00+05:30,530.514259995779,538.5702292697966,522.1144628717794,527.3213500976562,623385,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,0.41726823504776145,,False
2021-12-22 00:00:00+05:30,527.6160753400319,532.9212419964854,523.146013415188,525.7003173828125,527661,0.0,0.0,814536851456,0.233,0.88,,0.16587,92.334,,,,,,0.40433745523290787,,False
