Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MarketCap,Revenue_Growth,Earnings_Growth,ROE,Operating_Margins,Debt_To_Equity,Returns_1Y,Returns_2Y,Returns_3Y,Volume_MA50,Volume_Ratio,Volatility,Price_Level,Higher_Highs
2024-10-03 00:00:00+05:30,33.79999923706055,39.400001525878906,33.58000183105469,34.560001373291016,2878984,0.0,0.0,5596630016,0.709,0.174,,0.18119,0.457,,,,,,,,False
2024-10-04 00:00:00+05:30,35.959999084472656,36.02000045776367,32.099998474121094,32.61000061035156,698711,0.0,0.0,5596630016,0.709,0.174,,0.18119,0.457,,,,,,,,False
2024-10-07 00:00:00+05:30,31.709999084472656,32.5099983215332,28.739999771118164,29.100000381469727,744513,0.0,0.0,5596630016,0.709,0.174,,0.18119,0.457,,,,,,,,False
2024-10-08 00:00:00+05:30,29.010000228881836,34.91999816894531,28.5,29.889999389648438,2019516,0.0,0.0,5596630016,0.709,0.174,,0.18119,0.457,,,,,,,,False
2024-10-09 00:00:00+05:30,30.200000762939453,32.72999954223633,29.5,30.450000762939453,1026310,0.0,0.0,5596630016,0.709,0.174,,0.18119,0.457,,,,,,,,False
2024-10-10 00:00:00+05:30,30.780000686645508,31.59000015258789,30.049999237060547,30.270000457763672,220938,0.0,0.0,5596630016,0.709,0.174,,0.18119,0.457,,,,,,,,False
2024-10-11 00:00:00+05:30,30.649999618530273,33.79999923706055,30.649999618530273,31.110000610351562,421143,0.0,0.0,5596630016,0.709,0.174,,0.18119,0.457,,,,,,,,False
2024-10-14 00:00:00+05:30,31.600000381469727,31.989999771118164,30.799999237060547,31.34000015258789,315683,0.0,0.0,5596630016,0.709,0.174,,0.18119,0.457,,,,,,,,False
2024-10-15 00:00:00+05:30,31.299999237060547,31.790000915527344,30.399999618530273,30.559999465942383,166315,0.0,0.0,5596630016,0.709,0.174,,0.18119,0.457,,,,,,,,False
2024-10-16 00:00:00+05:30,30.260000228881836,32.25,30.260000228881836,31.1299991607666,249755,0.0,0.0,5596630016,0.709,0.174,,0.18119,0.457,,,,,,,,False
2024-10-17 00:00:00+05:30,31.299999237060547,31.540000915527344,29.799999237060547,29.950000762939453,181351,0.0,0.0,5596630016,0.709,0.174,,0.18119,0.457,,,,,,,,False
2024-10-18 00:00:00+05:30,31.940000534057617,31.940000534057617,29.229999542236328,30.219999313354492,1777456,0.0,0.0,5596630016,0.709,0.174,,0.18119,0.457,,,,,,,,False
2024-10-21 00:00:00+05:30,30.649999618530273,31.0,30.200000762939453,30.350000381469727,207674,0.0,0.0,5596630016,0.709,0.174,,0.18119,0.457,,,,,,,,False
2024-10-22 00:00:00+05:30,30.649999618530273,30.899999618530273,27.559999465942383,28.40999984741211,338579,0.0,0.0,5596630016,0.709,0.174,,0.18119,0.457,,,,,,,,False
2024-10-23 00:00:00+05:30,28.0,29.360000610351562,27.920000076293945,28.530000686645508,222031,0.0,0.0,5596630016,0.709,0.174,,0.18119,0.457,,,,,,,,False
2024-10-24 00:00:00+05:30,28.200000762939453,28.8799991607666,28.010000228881836,28.31999969482422,61875,0.0,0.0,5596630016,0.709,0.174,,0.18119,0.457,,,,,,,,False
2024-10-25 00:00:00+05:30,28.260000228881836,28.610000610351562,26.829999923706055,27.280000686645508,148205,0.0,0.0,5596630016,0.709,0.174,,0.18119,0.457,,,,,,,,False
2024-10-28 00:00:00+05:30,27.790000915527344,28.190000534057617,26.5,27.399999618530273,123314,0.0,0.0,5596630016,0.709,0.174,,0.18119,0.457,,,,,,,,False
2024-10-29 00:00:00+05:30,27.950000762939453,28.399999618530273,27.270000457763672,27.530000686645508,87218,0.0,0.0,5596630016,0.709,0.174,,0.18119,0.457,,,,,,,,False
2024-10-31 00:00:00+05:30,29.780000686645508,30.149999618530273,29.219999313354492,29.420000076293945,65100,0.0,0.0,5596630016,0.709,0.174,,0.18119,0.457,,,,,,,,False
2024-11-01 00:00:00+05:30,30.389999389648438,31.5,29.8799991607666,30.719999313354492,468116,0.0,0.0,5596630016,0.709,0.174,,0.18119,0.457,,,,,,0.6403770647978152,,False
2024-11-04 00:00:00+05:30,31.469999313354492,31.469999313354492,29.100000381469727,29.8700008392334,158688,0.0,0.0,5596630016,0.709,0.174,,0.18119,0.457,,,,,,0.6175250021411739,,False
2024-11-06 00:00:00+05:30,29.899999618530273,30.309999465942383,29.540000915527344,30.15999984741211,95544,0.0,0.0,5596630016,0.709,0.174,,0.18119,0.457,,,,,,0.4807582284642185,,False
2024-11-07 00:00:00+05:30,29.530000686645508,30.5,29.530000686645508,29.90999984741211,112161,0.0,0.0,5596630016,0.709,0.174,,0.18119,0.457,,,,,,0.47278439532273386,,False
2024-11-08 00:00:00+05:30,30.100000381469727,30.920000076293945,28.950000762939453,29.3700008392334,172830,0.0,0.0,5596630016,0.709,0.174,,0.18119,0.457,,,,,,0.4719521991096437,,False
